Address,Lat,Long,Type,Bed,Bath,Parking,Bond,Price
"701/39 Lonsdale Street, Melbourne VIC 3000",-37.81042007493952,144.968416157676,Apartment/Unit/Flat,2,1,0,2499.0,575.0
"307/300 Swanston Street, Melbourne VIC 3000",-37.810374,144.9653788,Apartment/Unit/Flat,1,1,1,2455.0,565.0
"203/68 Hayward Lane, Melbourne VIC 3000",-37.810200502588565,144.96736536154143,Studio,0,1,1,1955.0,450.0
"512/108 Flinders Street, Melbourne VIC 3000",-37.81791195625736,144.96613866288172,Apartment/Unit/Flat,1,1,1,2477.0,570.0
"1901/228 La Trobe Street, Melbourne VIC 3000",-37.80976,144.9624754,Apartment/Unit/Flat,1,1,0,3259.0,750.0
"2705/60 A'Beckett Street, Melbourne VIC 3000",-37.8087462,144.96140616485764,Apartment/Unit/Flat,2,1,0,3585.0,825.0
"1101/199 William Street, Melbourne VIC 3000",-37.8145471,144.957423,Apartment/Unit/Flat,2,1,0,2825.0,650.0
"910/131-141 Russell Street, Melbourne VIC 3000",-37.813321,144.9680642,Apartment/Unit/Flat,1,1,0,3259.0,750.0
"201/253 Franklin Street, Melbourne VIC 3000",-37.8084339537898,144.9592549861561,Apartment/Unit/Flat,1,1,0,2067.0,475.0
"Level 11, 1106/35 Spring Street, Melbourne VIC 3000",-37.7341068,144.9994622,Apartment/Unit/Flat,3,3,2,24000.0,4000.0
"2306/27 Little Collins, Melbourne VIC 3000",-37.8127011,144.9726307,Apartment/Unit/Flat,2,2,0,3042.0,700.0
"1003/442 St Kilda Road, Melbourne VIC 3000",-37.8381599,144.9757764,Apartment/Unit/Flat,2,2,1,3258.0,750.0
"1511/200 Spencer Street, Melbourne VIC 3000",-37.8162806,144.95328817518583,Apartment/Unit/Flat,1,1,0,2346.0,540.0
"509/151 Berkeley Street, Melbourne VIC 3000",-37.800833127606204,144.9586491659481,Apartment/Unit/Flat,2,1,0,2998.0,690.0
"206/442 St Kilda Road, Melbourne VIC 3000",-37.8381599,144.9757764,Apartment/Unit/Flat,1,1,1,2173.0,480.0
"4/458 St Kilda Road, Melbourne VIC 3000",-37.8192992,144.9682277,Apartment/Unit/Flat,2,1,1,4345.0,1000.0
"394 Collins Street, Melbourne VIC 3000",-37.816773350000005,144.96118065941937,Apartment/Unit/Flat,1,1,0,2200.0,550.0
"Car Park/228 La Trobe St, Melbourne VIC 3000",-37.80976,144.9624754,Carspace,0,1,1,326.0,75.0
"303/19 Exploration lane, Melbourne VIC 3000",-37.8089027729186,144.9681968254596,Studio,1,1,0,2360.0,590.0
"1308/10 Bennetts Lane, Melbourne VIC 3000",-37.80905754115436,144.96779547704608,Apartment/Unit/Flat,1,1,0,3120.0,780.0
"408/19 Exploration Lane, Melbourne VIC 3000",-37.8089027729186,144.9681968254596,Studio,1,1,0,2400.0,600.0
"307/19 Exploration Lane, Melbourne VIC 3000",-37.8089027729186,144.9681968254596,Studio,1,1,0,2480.0,620.0
"1107 10 Bennetts Lane, Melbourne VIC 3000",-37.80905754115436,144.96779547704608,Apartment/Unit/Flat,1,1,0,2560.0,640.0
"99 Franklin Street, Melbourne VIC 3000",-37.7220205,145.1488952,Apartment/Unit/Flat,1,1,0,2676.0,669.0
"236 La Trobe Street, Melbourne VIC 3000",-37.8120866578597,144.9553966476117,Apartment/Unit/Flat,1,1,0,2916.0,729.0
"50 La Trobe Street, Melbourne VIC 3000",-37.8083203,144.9674033,Studio,0,1,0,2137.0,509.0
